protein_id,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome_Vacuole,Golgi apparatus,Peroxisome
CP2D7_HUMAN,0.211400002,0.098300003,0.232199997,0.140100002,0.160400003,0.0017,0.83160001,0.166899994,0.217700005,0.0163
PIOS1_HUMAN,0.091499999,0.079000004,0.052000001,0.088799998,0.962700009,0.045499999,0.268099993,0.152899995,0.154499993,0.028999999
SIK1B_HUMAN,0.7227,0.618700027,0.0195,0.287099987,0.077799998,0.0026,0.162599996,0.135700002,0.125599995,0.0085
MOTSC_HUMAN,0.3741,0.575999975,0.260199994,0.131200001,0.475300014,0.038699999,0.245199993,0.275000006,0.180099994,0.0284
CD3CH_HUMAN,0.192100003,0.1285,0.295300007,0.779100001,0.0526,0.0004,0.35710001,0.130799994,0.161500007,0.184100002
NBDY_HUMAN,0.611299992,0.666899979,0.327899992,0.1021,0.238000005,0.071000002,0.093199998,0.132300004,0.204799995,0.0026
CIROP_HUMAN,0.206,0.163699999,0.416599989,0.620400012,0.180700004,0.0051,0.342599988,0.576900005,0.456699997,0.065099999
S12A8_HUMAN,0.1646,0.143900007,0.017200001,0.773199975,0.190400004,0.0003,0.38499999,0.512399971,0.489899993,0.0156
RBM47_HUMAN,0.626999974,0.695800006,0.0243,0.037,0.0583,0.0037,0.134399995,0.022500001,0.0317,1.00E-04
IFT56_HUMAN,0.649600029,0.292199999,0.111500002,0.279900014,0.158999994,0.0014,0.238100007,0.191,0.142100006,0.0139
TM129_HUMAN,0.248899996,0.1294,0.021199999,0.122400001,0.283499986,0.082500003,0.561699986,0.657199979,0.424400002,0.196400002
E2F8_HUMAN,0.374599993,0.960200012,0.050700001,0.021600001,0.070699997,0.0012,0.033599999,0.0285,0.035799999,0.0135
UBA6_HUMAN,0.725399971,0.517499983,0.0125,0.239700004,0.286000013,0.0024,0.136199996,0.246999994,0.197999999,0.015699999
ESYT2_HUMAN,0.257200003,0.217399999,0.016799999,0.547399998,0.217399999,0.0014,0.791000009,0.405999988,0.496100008,0.104199998
ESYT3_HUMAN,0.271800011,0.219699994,0.0059,0.641700029,0.214200005,0.0027,0.781199992,0.371300012,0.385600001,0.0482
